from,transfer_count,total_amount_usd,average_amount_usd
0x4a042b8c865e36f09cdac1a3d526970a308802a2,99,72.260861,0.729908
0x018c3c52c3c08420b4c0cc041cc53f13359031e8,74,125.68,1.698378
0x649fe0bba5098e9ec1cca4aa416c0551e309a568,64,56652186.153371,885190.408646
0xcee99d8ab5003cd51fd5ab11771834d5afc02f2d,38,21.768113,0.572845
0x813511f567d3dc94eabf37f47996d21b07e6b0cd,27,2186154.38396,80968.680887
0x51081c5f2442da2d82be9a1882c88d2bdcdbef25,21,2730.483228,130.023011
0x4755b51eed2cd9edb35db1dea1018e6363f30e5c,20,5.717762,0.285888
0x9d890672b5d2431ab23aa0a024cb8c37e5dc1012,20,1108.937122,55.446856
0xb2221d4fa904c70830893caafba25c81b498a3bc,18,2229.503622,123.861312
0x4e3a9949461384bef2bc09ba4f2539c4c6e4eed4,17,933.599812,54.917636
0x7edf93d31fa2c58dd9ae92933de7dc3eaf71828d,15,207222.849006,13814.8566
0x1cf3849f839ce4493bf4ce9762481614fc42e3af,15,7888.215604,525.88104
0x171c53d55b1bcb725f660677d9e8bad7fd084282,14,6653589.211458,475256.372247
0xc214e9c9da16f3fcba45c9f0889e1ec7b2cfe8e6,14,76119.886389,5437.134742
0xef4525e5caa5d53480a736a083ec1b2c042e816f,14,62989.491982,4499.249427
0x391ad775fa5b92c20e455d9b84ac4d476e6532bf,13,7794620.63,599586.202308
0xbc33c19d8dbd6ae9a85a9149e5405948f0073333,13,11891.062501,914.697115
0xbc878e863ada768fff612142d4048f552181261a,13,440088.983894,33852.998761
0xdaa3538dd9f6753b1ef157bd64a760d909e20ecd,13,29905.934893,2300.45653
0xed3f555eda0aaf58be6552ae428dcaf67319a747,13,23579.204083,1813.784929
0x97bc6a425f46cf3df7331f0098516450b75f5c1e,12,1.909095,0.159091
0x9177a60658025f8d506fb2686103c21a3c4c6d50,12,11000999.83,916749.985833
0xefddf6ba822578b51d0dd7c3ade9ac34652b5d54,12,3.346316,0.27886
0xe39e6e67f8afa0b2766a519c13dbb66387aebe3f,11,854506.560932,77682.41463
0x287703cb0359d22cfd8ebe189b808b2acf9ab9ac,11,1549.013334,140.819394
0x67b7af9d323b991123ee178208b5aa015bb4a9b6,11,5845.739537,531.430867
0x100032ed9ef405648dc3cc71b6d09c63011ea4f5,11,7335859.781333,666896.343758
0xf83bcdd35dbe0cd43b9989fed6ea690914451eea,11,10879554.734826,989050.430439
0x73860dc8055a36199fa017e4d9b6584e1497df85,11,157467.018816,14315.183529
0xfa41b57dd4482014e88272df9516ca96b62df428,10,3.908045,0.390804
0x72a2c50af06466002e2da1dae3ad3e10a4f1fdc3,10,312.842597,31.28426
0xd4f9ce639ddf663212579514abed27266a5cfe3c,10,6611222.285518,661122.228552
0x33321e44c2861033fb80ad04f93e4ccd25f2beef,10,186556.692855,18655.669286
0x38cdb2690b5a4e9aef92bfec3e85c60cc64dbe44,10,39979.995913,3997.999591
