date,transfer_count,total_amount_usd,average_amount_usd
2024-10-06,1,2.9985,2.9985
2024-10-08,2,114.775163,57.387581
2024-10-09,3,149.925429,49.975143
2024-10-10,22,394180.541625,17917.297347
2024-10-11,25,3252437.942266,130097.517691
2024-10-12,17,1539989.60202,90587.623648
2024-10-13,9,44787.275247,4976.363916
2024-10-14,13,22241.120317,1710.855409
2024-10-15,10,121886.53917,12188.653917
2024-10-16,10,111373.087004,11137.3087
2024-10-17,12,999994.323963,83332.86033
2024-10-18,13,3727.690097,286.745392
2024-10-19,6,200150.021619,33358.336937
2024-10-20,12,4081.962933,340.163578
2024-10-21,10,43158.581915,4315.858191
2024-10-22,10,1527010.811695,152701.08117
2024-10-23,9,63679.87037,7075.541152
2024-10-24,12,899129.892802,74927.491067
2024-10-25,8,17902.572913,2237.821614
2024-10-26,39,39388.100122,1009.951285
2024-10-27,18,5073.045684,281.835871
2024-10-28,28,13635.218061,486.972074
2024-10-29,2,30314.128058,15157.064029
2024-10-30,2,78090.532723,39045.266362
2024-11-01,2,5950.998013,2975.499006
2024-11-02,1,49.975,49.975
2024-11-03,6,76071.352512,12678.558752
2024-11-04,1,576.504954,576.504954
2024-11-05,2,911.755679,455.87784
2024-11-06,2,122.244845,61.122422
2024-11-07,2,6997.319754,3498.659877
2024-11-08,2,23848.550752,11924.275376
2024-11-25,5,4406.161724,881.232345
2024-11-26,2,48655.66,24327.83
2024-11-27,3,575.21225,191.737417
2024-11-28,6,15957.141757,2659.523626
2024-11-29,9,413313.697785,45923.744198
2024-11-30,13,267510.896406,20577.761262
2024-12-01,19,3202572.126513,168556.427711
2024-12-02,11,922215.665191,83837.787745
2024-12-03,2,149783.609548,74891.804774
2024-12-04,6,446629.001331,74438.166888
2024-12-05,3,5208.597171,1736.199057
2024-12-06,8,67127.05888,8390.88236
2024-12-07,3,106056.282023,35352.094008
2024-12-08,4,70399.699514,17599.924878
2024-12-09,4,57431.727465,14357.931866
2024-12-10,6,774904.722649,129150.787108
2024-12-11,3,55398.947039,18466.31568
2024-12-12,8,113489.084661,14186.135583
2024-12-13,9,58721.491315,6524.610146
2024-12-14,13,35146.691758,2703.591674
2024-12-15,7,44500.113081,6357.159012
2024-12-16,19,3313745.360791,174407.650568
2024-12-17,8,746614.778818,93326.847352
2024-12-18,2,393.589737,196.794868
2024-12-19,9,61047.492105,6783.054678
2024-12-20,13,148790.70104,11445.438542
2024-12-21,16,29704.211947,1856.513247
2024-12-22,4,3839.352212,959.838053
2024-12-23,4,13926.495862,3481.623966
2024-12-24,5,49808.441707,9961.688341
2024-12-25,2,30621.56156,15310.78078
2024-12-26,1,2001.410232,2001.410232
2024-12-27,1,111768.998692,111768.998692
2024-12-28,2,29.985,14.9925
2024-12-30,1,14992.5,14992.5
2024-12-31,6,207070.17808,34511.696347
2025-01-01,5,235787.530982,47157.506196
2025-01-02,9,163843.727349,18204.858594
2025-01-03,5,8022.143494,1604.428699
2025-01-04,7,10305.512813,1472.216116
2025-01-05,7,1027960.007024,146851.429575
2025-01-06,12,29292.188438,2441.015703
2025-01-07,8,60973.495307,7621.686913
2025-01-08,26,1271871.911871,48918.150457
2025-01-09,5,9901.977895,1980.395579
2025-01-10,12,646359.949476,53863.329123
2025-01-11,11,71746.162411,6522.378401
2025-01-12,3,70475.163919,23491.721306
2025-01-13,4,5500.487776,1375.121944
2025-01-14,11,141182.345024,12834.758639
2025-01-15,15,384999.102015,25666.606801
2025-01-16,9,52349.361898,5816.595766
2025-01-17,9,64408.728747,7156.525416
2025-01-18,23,113120.295675,4918.273725
2025-01-19,7,29229.655004,4175.665001
2025-01-20,11,51971.981037,4724.725549
2025-01-21,12,166946.395956,13912.199663
2025-01-22,8,24306.693204,3038.33665
2025-01-23,22,540469.109964,24566.777726
2025-01-24,7,57469.265965,8209.895138
2025-01-25,10,257733.847033,25773.384703
2025-01-26,7,1796.870623,256.695803
2025-01-27,6,382536.635779,63756.105963
2025-01-28,13,42521.021783,3270.847829
2025-01-29,4,50732.663799,12683.16595
2025-01-30,5,5646.663561,1129.332712
2025-01-31,5,27404.079179,5480.815836
2025-02-01,10,16572.22537,1657.222537
2025-02-02,7,10314.376492,1473.482356
2025-02-03,4,10005.255657,2501.313914
2025-02-04,4,63165.305199,15791.3263
2025-02-05,10,383624.356267,38362.435627
2025-02-06,2,2003.83758,1001.91879
2025-02-07,4,11301.027387,2825.256847
2025-02-08,3,115941.975012,38647.325004
2025-02-09,8,142401.23178,17800.153972
2025-02-10,6,967250.620364,161208.436727
2025-02-11,3,13325.307014,4441.769005
2025-02-12,6,13078.34595,2179.724325
2025-02-13,10,187894.322907,18789.432291
2025-02-14,9,64011.235136,7112.35946
2025-02-15,16,72798.47207,4549.904504
2025-02-16,10,123445.843968,12344.584397
2025-02-17,16,51481.391485,3217.586968
2025-02-18,4,13408.249253,3352.062313
2025-02-19,26,72851.670456,2801.987325
2025-02-20,11,60165.000092,5469.545463
2025-02-21,10,176578.752219,17657.875222
2025-02-22,10,58650.890707,5865.089071
2025-02-23,10,812989.076542,81298.907654
2025-02-24,10,413364.429451,41336.442945
2025-02-25,9,47000.004366,5222.222707
2025-02-26,16,294098.816826,18381.176052
2025-02-27,10,56202.701401,5620.27014
2025-02-28,25,234985.239264,9399.409571
2025-03-01,9,125458.35591,13939.817323
2025-03-02,2,2047.751165,1023.875583
2025-03-03,5,16998.617722,3399.723544
2025-03-04,1730,5921845.709198,3423.032202
2025-03-05,1146,9465021.747059,8259.18128
2025-03-06,748,7844880.86718,10487.808646
2025-03-07,532,13511879.341562,25398.269439
2025-03-08,346,15146832.042007,43776.97122
2025-03-09,220,4461060.021976,20277.545554
2025-03-10,221,6297636.518509,28496.092844
2025-03-11,238,2830602.543625,11893.287998
2025-03-12,183,1427154.160562,7798.656615
2025-03-13,163,732306.989721,4492.680919
2025-03-14,158,1131457.104524,7161.120915
2025-03-15,186,4219915.651005,22687.718554
2025-03-16,135,4452723.964242,32983.140476
2025-03-17,93,7791628.963518,83780.956597
2025-03-18,55,180980.232236,3290.549677
2025-03-19,92,929654.001565,10104.9348
2025-03-20,128,1036676.440244,8099.034689
2025-03-21,61,72021.052241,1180.672988
2025-03-22,58,33846.11135,583.553644
2025-03-23,67,1504075.427004,22448.88697
2025-03-24,129,6689474.748873,51856.393402
2025-03-25,99,1077904.190051,10887.921112
2025-03-26,114,1099210.034959,9642.193289
2025-03-27,98,288206.440441,2940.882045
2025-03-28,78,21895.15862,280.707162
2025-03-29,84,90606.959766,1078.654283
2025-03-30,78,96741.605743,1240.276997
2025-03-31,123,5315528.913289,43215.682222
2025-04-01,133,274366.548945,2062.906383
2025-04-02,55,293716.28056,5340.29601
2025-04-03,53,579082.95644,10926.093518
2025-04-04,68,46346.28868,681.563069
2025-04-05,64,66632.479403,1041.132491
2025-04-06,46,41234.29003,896.397609
2025-04-07,45,48808.565526,1084.634789
2025-04-08,34,1307202.665725,38447.137227
2025-04-09,62,19132.276473,308.585104
2025-04-10,84,67548.353389,804.147064
2025-04-11,107,6711.334622,62.722753
2025-04-12,100,148108.961748,1481.089617
2025-04-13,171,125379.061237,733.210884
2025-04-14,363,4647289.860692,12802.451407
2025-04-15,434,16136937.848386,37181.884443
2025-04-16,349,3093710.87806,8864.501083
2025-04-17,197,2759765.85456,14008.963729
2025-04-18,126,1758059.057312,13952.849661
2025-04-19,97,2023006.383953,20855.735917
2025-04-20,111,1533845.365931,13818.42672
2025-04-21,101,261963.162207,2593.694675
2025-04-22,102,478970.236534,4695.786633
2025-04-23,70,1224405.225898,17491.503227
2025-04-24,111,7658222.086183,68992.991767
2025-04-25,412,8956202.777475,21738.356256
2025-04-26,381,2190369.135248,5749.000355
2025-04-27,256,839110.547417,3277.775576
2025-04-28,172,847545.434003,4927.589733
2025-04-29,143,379732.452482,2655.471696
2025-04-30,116,989677.847307,8531.70558
2025-05-01,105,6295188.85699,59954.17959
2025-05-02,110,432364.334927,3930.584863
2025-05-03,102,838748.163441,8223.02121
2025-05-04,126,1998715.191177,15862.818978
2025-05-05,127,2178347.495279,17152.342483
2025-05-06,140,6727.08666,48.050619
2025-05-07,86,1252539.680734,14564.414892
2025-05-08,160,19091074.734187,119319.217089
2025-05-09,124,438683.057221,3537.76659
2025-05-10,67,663704.746679,9906.040995
2025-05-11,51,24590.27573,482.162269
2025-05-12,84,37425.047079,445.536275
2025-05-13,60,408323.071635,6805.384527
2025-05-14,62,141587.466697,2283.668818
2025-05-15,118,70689.093855,599.060117
2025-05-16,70,19950.281358,285.004019
2025-05-17,57,109324.477154,1917.973283
2025-05-18,47,17376.186795,369.706102
2025-05-19,81,1044479.657355,12894.810585
2025-05-20,61,13661.843649,223.96465
2025-05-21,72,12130.778889,168.48304
2025-05-22,75,3022.441763,40.299224
2025-05-23,59,2397.238169,40.631155
2025-05-24,99,5736.859977,57.948081
2025-05-25,129,3447.092817,26.72165
2025-05-26,268,547361.190549,2042.392502
2025-05-27,128,49400.380712,385.940474
2025-05-28,104,48103.283329,462.53157
2025-05-29,48,115938.487546,2415.385157
2025-05-30,31,6011.084449,193.90595
2025-05-31,14,2844.399254,203.171375
2025-06-01,31,10710.760812,345.508413
2025-06-02,17,2099.703106,123.511947
2025-06-03,37,25141.505816,679.500157
2025-06-04,32,1872.257709,58.508053
2025-06-05,18,130793.283859,7266.293548
2025-06-06,18,920297.246236,51127.624791
2025-06-07,11,232283.917511,21116.719774
2025-06-08,12,488510.744325,40709.228694
2025-06-09,12,169021.02123,14085.085103
2025-06-10,13,875156.209699,67319.708438
2025-06-11,12,1846869.649864,153905.804155
2025-06-12,20,636881.969941,31844.098497
2025-06-13,9,9234.469258,1026.05214
2025-06-14,15,381695.726409,25446.381761
2025-06-15,11,3545.902757,322.354796
2025-06-16,11,17022.891402,1547.535582
2025-06-17,13,77378.126146,5952.16355
2025-06-18,8,3608.593147,451.074143
2025-06-19,12,475425.650791,39618.804233
2025-06-20,24,37729.022073,1572.042586
2025-06-21,9,57697.037075,6410.781897
2025-06-22,18,223757.489777,12430.971654
2025-06-23,12,91983.499351,7665.291613
2025-06-24,36,2001589.79655,55599.716571
